Mean relative abundance,Change (log2 fold),Adjusted P value,Taxonomy,Indicator pair,Indicator group,Unique to group
368.37,2.28,3.75E-06,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Rhizobium,senesce:flowering,senesce,*
179.52,-2.308,6.34E-04,Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Aquabacterium,senesce:flowering,flowering,
102.48,4.383,1.07E-03,Bacteroidetes; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium,senesce:fruiting,senesce,
369.48,2.716,4.23E-03,Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Janthinobacterium,senesce:fruiting,senesce,*
368.37,2.232,3.28E-04,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Rhizobium,senesce:fruiting,senesce,*
2028.92,2.11,4.24E-04,Bacteroidetes; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter,senesce:fruiting,senesce,*
9087.5,1.037,4.24E-04,Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas,senesce:fruiting,senesce,
5339.91,-1.07,3.17E-03,Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Massilia,senesce:fruiting,fruiting,
102.48,4.559,5.76E-06,Bacteroidetes; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium,senesce:vegetative,senesce,
443.12,3.578,3.11E-07,Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Asticcacaulis,senesce:vegetative,senesce,*
251.45,3.119,9.44E-05,Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas,senesce:vegetative,senesce,*
368.37,3.068,1.31E-12,Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Allorhizobium-Rhizobium,senesce:vegetative,senesce,*
